@id	@lon	@lat	name	website
1454714897	15.4250128	47.0830343	Zeillerhof	
1454908660	15.4967341	47.0768809	Sorger	
1457222996	15.4283576	47.0888567	Bäckerei König	
1458481500	15.4363165	47.0716778		
1458481503	15.4364043	47.0717213		
1458481505	15.4363717	47.0717358		
1458481507	15.4363846	47.0717390		
1458481509	15.4363943	47.0717415		
1458649801	15.4468652	47.0679489	Sägewerk ToGo	http://diebausatzlokale.at
1458649813	15.4469324	47.0680208	Osteria - Opernblick	
1460353496	15.4440050	47.0652922		
1460353499	15.4439339	47.0653412		
1460353502	15.4440552	47.0653191		
1464504989	15.4458653	47.0678167	Mexcalli	
1464830355	15.4426398	47.0655264	Hong Kong	
1468770814	15.4482892	47.0649418		
1469731374	15.4443341	47.0739945		
1469731375	15.4442634	47.0740273		
1469731386	15.4441826	47.0739068		
1469731388	15.4443492	47.0739442		
1469731389	15.4442495	47.0739042		
1469731390	15.4441306	47.0739871		
1469731391	15.4443450	47.0739679		
1469731392	15.4442231	47.0740246		
1469731393	15.4442862	47.0739113		
1469731403	15.4442153	47.0739153		
1469731406	15.4443090	47.0740154		
1469731410	15.4441896	47.0740209		
1469731412	15.4442929	47.0739341		
1469746529	15.4557786	47.0924290		
1469746536	15.4556454	47.0923059		
1469746549	15.4556162	47.0923812		
1469746554	15.4556272	47.0924018		
1469746559	15.4558252	47.0923002		
1469746562	15.4557909	47.0923971		
1469746565	15.4556339	47.0923844		
1469746577	15.4556881	47.0922756		
1469746579	15.4556744	47.0923111		
1469746580	15.4558276	47.0924037		
1469746587	15.4558536	47.0923367		
1469746589	15.4558138	47.0923296		
1470825756	15.4520723	47.0605197	Steirerstüberl	
1470825769	15.4481937	47.0633534	Ahaan Thai	
1477146831	15.4035572	47.0293449	Zum Mandarin	
1477146972	15.4315034	47.0301068	iClub	http://www.iclub-graz.at/
1479044928	15.4678190	47.0217330		
1479044944	15.4679426	47.0217753		
1479045039	15.4677146	47.0218750		
1479045105	15.4678382	47.0219172		
1479045860	15.4691802	47.0224974		
1479045909	15.4692877	47.0225477		
1479045918	15.4690927	47.0225554		
1479045943	15.4691124	47.0225647		
1479045987	15.4692149	47.0226200		
1479046022	15.4689941	47.0226533		
1479046039	15.4693083	47.0226637		
1479046158	15.4692147	47.0227566		
1480603057	15.4314619	47.0756874		
1481342768	15.4363988	47.0764977	Die große Fernberger Bastei	
1481342769	15.4365043	47.0760833	Dr. Friedrich Emich	
1481342782	15.4364755	47.0761698		
1482361396	15.4472572	47.0788995	The Churchill	http://www.thechurchill.at/
1483304663	15.4387474	47.0791678	Hakuna Matata	
1487593972	15.3993211	47.0614391	Maria	
1488559157	15.4030914	47.0540219	Wagner	
1489775697	15.4292740	47.0457341		
1489775698	15.4294262	47.0459683		
1490550778	15.4437897	47.0653848		
1492540543	15.4214773	47.0712574	Happy Day	
1493185868	15.3828016	47.0612041		
1493311423	15.4197895	47.0747878	Babenbergerhof "Zur Klöpferwirtin"	
1494657646	15.4525022	47.0752649	Merano	
1494660390	15.4519201	47.0748630	Gecco	
1495573995	15.4257795	47.0899117	Körösi	
1495809480	15.4329004	47.0611538	Cafe	
1495809481	15.4330641	47.0621262	Cafe-Club Silver	
1505600349	15.4009038	47.0635470	Cafe Sandy's	
1517963574	15.4864006	47.0451295		
1517963582	15.4866063	47.0451696		
1517963667	15.4865881	47.0452129		
1517963670	15.4866930	47.0452333		
1517963680	15.4866833	47.0452563		
1517963684	15.4864337	47.0452886		
1517963702	15.4865351	47.0452859		
1517963705	15.4867411	47.0452676		
1517963718	15.4863210	47.0453190		
1517963722	15.4865264	47.0453067		
1517963726	15.4866041	47.0452993		
1517963772	15.4864133	47.0453370		
1517963777	15.4865953	47.0453205		
1517963779	15.4866170	47.0453247		
1517963868	15.4865811	47.0454101		
1517963872	15.4866736	47.0454282		
1517973096	15.4935340	47.0538018		
1517973139	15.4933289	47.0538471		
1517973156	15.4934794	47.0538562		
1517973196	15.4935340	47.0538817		
1517973237	15.4934921	47.0539233		
1517973276	15.4932385	47.0539369		
1517973278	15.4936059	47.0539574		
1517973279	15.4936440	47.0539548		
1517973280	15.4938316	47.0539408		
1517973296	15.4936300	47.0539687		
1517973316	15.4933856	47.0540056		
1517973317	15.4937620	47.0540099		
1517973322	15.4933689	47.0540223		
1517973328	15.4934519	47.0540344		
1517973336	15.4934336	47.0540525		
1517973340	15.4935040	47.0540587		
1529456817	15.4440533	47.0676590	Area 5	
1532638370	15.4338835	47.0719256	Kawango	www.kawango.org
1532663163	15.4760406	47.0524552		
1532663180	15.4759839	47.0525102		
1532663182	15.4760333	47.0525338		
1532663185	15.4762057	47.0525340		
1532663203	15.4761539	47.0525843		
1532663207	15.4761870	47.0526002		
1532663211	15.4760222	47.0527605		
1536753517	15.4439046	47.0656131	Frühbar Szene	
1536753835	15.4475263	47.0725673	6 in the City	
1539784988	15.4413744	47.0709750	UP25	http://www.up25.at
1540270948	15.4439511	47.0671703	Culinarix	
1544572591	15.4219676	47.1033507		
1544572594	15.4221048	47.1034147		
1544572597	15.4219538	47.1034588		
1544572639	15.4220273	47.1034939		
1545210729	15.4369359	47.0723502	Prato im Palais	
1548464431	15.4234766	47.0686884		
1554794435	15.4178205	47.0885655		
1554794449	15.4177609	47.0886151		
1554794450	15.4177013	47.0886197		
1554794467	15.4176703	47.0886455		
1567937659	15.4502024	47.0663239	Queens	
1574711158	15.4758733	47.0526894		
1576852516	15.4292685	47.0744088	Angelique	
1582722916	15.4490502	47.0719450	Das Florian	http://www.parkhotel-graz.at/paged801.html?id=1051
1582746935	15.4185523	47.0743428	Urviech's Wirtshaus	
1582782539	15.4305034	47.0308539	Comida	
1582782544	15.4299382	47.0325330		
1582782546	15.4301863	47.0325850		
1582782549	15.4297648	47.0327509		
1582782550	15.4301335	47.0327021		
1582782559	15.4300815	47.0328173		
1587130450	15.4041879	47.0960489		
1587130452	15.4039463	47.0961576		
1587130454	15.4039712	47.0961619		
1587241565	15.4278015	47.0712218	Cafe Johanna	
1587468690	15.4088244	47.0947351	Zanklstüberl	
1587562129	15.4053837	47.0958968	Interspar Selbstbedienungsrestauarant	
1591423786	15.3949423	47.0737376		
1591423787	15.3949607	47.0737408		
1591423788	15.3950057	47.0737433		
1591423798	15.3950177	47.0737439		
1591423799	15.3949846	47.0737445		
1591423800	15.3949331	47.0737502		
1591423801	15.3950223	47.0737571		
